A Pretty Stone and Five Golden Apples,Pupunke,Great Hyrule Forest,Damia
Dyeing to Find It,Kurakat,Lanayru Great Spring,Steward Construct
Keys Born of Water,Jochisiu,West Necluda,Steward Construct
Legend of the Soaring Spear,Utojis,East Necluda,Tattered Notebook
Maca’s Special Place,Ninjis,Great Hyrule Forest,Maca
None Shall Pass?,Sakunbomar,Great Hyrule Forest,Zooki
Ride the Giant Horse,Ishokin,Faron,Baddek
Rock for Sale,Jochi-ihiga,Akkala - Tarrey Town,Hagie
The Death Caldera Crystal,Momosik,Death Mountain,Mysterious Voice
The East Hebra Sky Crystal,Tauninoud,East Hebra Sky Archipelago,Mysterious Voice
The Gerudo Canyon Crystal,Rakakudaj,Gerudo Canyon,Mysterious Voice
The Gisa Crater Crystal,Ikatak,Tabantha Frontier,Mysterious Voice
The High Spring and the Light Rings,Zakusu,Mount Lanayru,Nazbi
The Lake Hylia Crystal,En-oma,Lake Hylia,Mysterious Voice
The Lake Intenoch Cave Crystal,Moshapin,Eldin Canyon,Mysterious Voice
The Lanayru Road Crystal,O-ogim,East Necluda - Lanayru Promenade,Mysterious Voice
The Necluda Sky Crystal,Kumamayn,Necluda Sky Archipelago,Mysterious Voice
The North Hebra Mountains Crystal,Sisuran,Hebra,Mysterious Voice
The North Hyrule Sky Crystal,Mayam,North Hyrule Sky Archipelago,Mysterious Voice
The North Necluda Sky Crystal,Josiu,North Necluda Sky Archipelago,Mysterious Voice
The Northwest Hebra Cave Crystal,Rutafu-um,Hebra,Mysterious Voice
The Oakle’s Navel Cave Crystal,Tokiy,East Necluda,Mysterious Voice
The Ralis Channel Crystal,Joniu,Lanayru Great Spring,Mysterious Voice
The Satori Mountain Crystal,Usazum,Hyrule Ridge,Mysterious Voice
The Sky Mine Crystal,Gikaku,Akkala Sky,Mysterious Voice
The Sokkala Sky Crystal,Natak,Sokkala Sky Archipelago,Mysterious Voice
The South Hyrule Sky Crystal,Jinodok,South Hyrule Sky Archipelago,Mysterious Voice
The South Lanayru Sky Crystal,Mayanas,South Lanayru Sky Archipelago,Mysterious Voice
The Tabantha Sky Crystal,Ganos,Tabantha Sky Archipelago,Mysterious Voice
The West Necluda Sky Crystal,Ukoojisi,West Necluda Sky Archipelago,Mysterious Voice
The White Bird’s Guidance,Wao-os,Rito Village,Laissa
